sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-PM2.5,AirBeam2:001896107096,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2018-03-28T14:05:31.000+01:00,51.5185936,-0.0129882,3
2018-03-28T14:05:32.000+01:00,51.5185936,-0.0129882,3
2018-03-28T14:05:33.000+01:00,51.5185936,-0.0129882,3
2018-03-28T14:05:34.000+01:00,51.5185936,-0.0129882,3
2018-03-28T14:05:35.000+01:00,51.5185936,-0.0129882,3
2018-03-28T14:05:36.000+01:00,51.5185936,-0.0129882,3
2018-03-28T14:05:37.000+01:00,51.5185936,-0.0129882,3
2018-03-28T14:05:38.000+01:00,51.5185936,-0.0129882,3
2018-03-28T14:05:39.000+01:00,51.5185936,-0.0129882,3
2018-03-28T14:05:40.000+01:00,51.5185936,-0.0129882,3
2018-03-28T14:05:42.000+01:00,51.5185936,-0.0129882,3
2018-03-28T14:05:42.000+01:00,51.5185936,-0.0129882,3
2018-03-28T14:05:43.000+01:00,51.5185936,-0.0129882,3
2018-03-28T14:05:44.000+01:00,51.5185936,-0.0129882,3
2018-03-28T14:05:45.000+01:00,51.5185936,-0.0129882,3
2018-03-28T14:05:46.000+01:00,51.5185944,-0.0132667,3
2018-03-28T14:05:47.000+01:00,51.5185944,-0.0132667,3
2018-03-28T14:05:48.000+01:00,51.5185944,-0.0132667,3
2018-03-28T14:05:49.000+01:00,51.5185944,-0.0132667,3
2018-03-28T14:05:50.000+01:00,51.5185944,-0.0132667,3
2018-03-28T14:05:51.000+01:00,51.5185944,-0.0132667,3
2018-03-28T14:05:52.000+01:00,51.5185944,-0.0132667,3
2018-03-28T14:05:53.000+01:00,51.5185944,-0.0132667,2
2018-03-28T14:05:54.000+01:00,51.5185944,-0.0132667,2
2018-03-28T14:05:55.000+01:00,51.5185944,-0.0132667,2
2018-03-28T14:05:56.000+01:00,51.5185944,-0.0132667,2
2018-03-28T14:05:57.000+01:00,51.5185944,-0.0132667,2
2018-03-28T14:05:58.000+01:00,51.5185944,-0.0132667,2
2018-03-28T14:05:59.000+01:00,51.5185944,-0.0132667,2
2018-03-28T14:06:00.000+01:00,51.5185944,-0.0132667,2
2018-03-28T14:06:01.000+01:00,51.5185944,-0.0132667,2
2018-03-28T14:06:02.000+01:00,51.5185944,-0.0132667,2
2018-03-28T14:06:03.000+01:00,51.5185944,-0.0132667,2
2018-03-28T14:06:04.000+01:00,51.5185944,-0.0132667,2
2018-03-28T14:06:05.000+01:00,51.5186018,-0.0132579,2
2018-03-28T14:06:06.000+01:00,51.5186018,-0.0132579,2
2018-03-28T14:06:07.000+01:00,51.5186018,-0.0132579,2
2018-03-28T14:06:08.000+01:00,51.5186018,-0.0132579,2
2018-03-28T14:06:09.000+01:00,51.5186018,-0.0132579,2
2018-03-28T14:06:10.000+01:00,51.5186018,-0.0132579,2
2018-03-28T14:06:11.000+01:00,51.5186018,-0.0132579,2
2018-03-28T14:06:12.000+01:00,51.5186018,-0.0132579,2
2018-03-28T14:06:14.000+01:00,51.5186018,-0.0132579,2
2018-03-28T14:06:14.000+01:00,51.5186018,-0.0132579,2
2018-03-28T14:06:15.000+01:00,51.5186018,-0.0132579,2
2018-03-28T14:06:16.000+01:00,51.5186018,-0.0132579,3
2018-03-28T14:06:17.000+01:00,51.5186018,-0.0132579,3
2018-03-28T14:06:18.000+01:00,51.5186018,-0.0132579,3
