sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:001896105CAC,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2018-03-31T12:33:47.828+0100,-0.00910389,51.49139861,8.22
2018-03-31T12:33:48.849+0100,-0.009103172,51.49139328,8.39
2018-03-31T12:33:49.788+0100,-0.009103354,51.49139308,8.44
2018-03-31T12:33:50.886+0100,-0.009096014,51.49139247,8.83
2018-03-31T12:33:51.885+0100,-0.009097837,51.49139249,8.72
2018-03-31T12:33:52.834+0100,-0.00910139,51.49139019,8.83
2018-03-31T12:33:53.812+0100,-0.009106781,51.49138975,8.77
2018-03-31T12:33:54.869+0100,-0.009099975,51.49139241,8.61
2018-03-31T12:33:55.860+0100,-0.009098361,51.49138606,8.11
2018-03-31T12:33:56.884+0100,-0.009098239,51.49138997,8.61
2018-03-31T12:33:57.814+0100,-0.009098606,51.49139546,8.22
2018-03-31T12:33:58.853+0100,-0.00910002,51.49139034,8.55
2018-03-31T12:33:59.864+0100,-0.009101107,51.49139028,8.66
2018-03-31T12:34:00.842+0100,-0.009106057,51.49138901,8.5
2018-03-31T12:34:01.843+0100,-0.009117175,51.49138786,8.5
2018-03-31T12:34:02.850+0100,-0.009124138,51.49138611,8.06
2018-03-31T12:34:03.827+0100,-0.009130974,51.49138236,7.42
2018-03-31T12:34:04.870+0100,-0.009128156,51.49137996,7.42
2018-03-31T12:34:05.847+0100,-0.009087337,51.49139057,7.74
2018-03-31T12:34:06.913+0100,-0.009078985,51.49140903,7.63
2018-03-31T12:34:07.881+0100,-0.009074644,51.49141747,7.53
2018-03-31T12:34:08.885+0100,-0.009079319,51.49142738,7.74
2018-03-31T12:34:09.876+0100,-0.00908287,51.49143628,7.37
2018-03-31T12:34:10.896+0100,-0.009084111,51.4914448,7.05
2018-03-31T12:34:11.901+0100,-0.009075813,51.4914432,6.64
2018-03-31T12:34:12.896+0100,-0.009075958,51.4914439,6.69
2018-03-31T12:34:13.875+0100,-0.009076667,51.49144417,6.95
2018-03-31T12:34:14.912+0100,-0.009077509,51.49144431,7.21
2018-03-31T12:34:15.916+0100,-0.009079034,51.49144346,7.63
2018-03-31T12:34:16.917+0100,-0.009080368,51.49144246,8.11
2018-03-31T12:34:17.927+0100,-0.009080862,51.49144222,7.9
2018-03-31T12:34:18.963+0100,-0.009082035,51.4914415,8.01
2018-03-31T12:34:19.880+0100,-0.009081376,51.49144056,7.42
2018-03-31T12:34:20.933+0100,-0.009088823,51.49143853,7.21
2018-03-31T12:34:21.965+0100,-0.009085849,51.49144027,7.26
2018-03-31T12:34:22.941+0100,-0.009091321,51.49143836,7.53
2018-03-31T12:34:23.923+0100,-0.009089271,51.49143508,8.17
2018-03-31T12:34:24.947+0100,-0.009091108,51.49143331,8.66
2018-03-31T12:34:25.935+0100,-0.009092154,51.49143336,8.83
2018-03-31T12:34:26.957+0100,-0.009092671,51.49143372,8.83
2018-03-31T12:34:27.913+0100,-0.009092782,51.49143387,8.94
2018-03-31T12:34:28.962+0100,-0.009093026,51.49143417,8.39
2018-03-31T12:34:29.935+0100,-0.009093,51.4914345,8.72
2018-03-31T12:34:31.026+0100,-0.009089893,51.49143488,8.33
2018-03-31T12:34:31.978+0100,-0.00909057,51.49143354,8.01
2018-03-31T12:34:32.978+0100,-0.009090196,51.49143249,8.06
2018-03-31T12:34:34.003+0100,-0.009096008,51.49143129,8.39
2018-03-31T12:34:34.985+0100,-0.009093706,51.49142245,8.01
2018-03-31T12:34:35.991+0100,-0.009097106,51.49142249,7.26
2018-03-31T12:34:36.998+0100,-0.009097772,51.49142124,7.16
2018-03-31T12:34:37.964+0100,-0.009094105,51.49142013,7.58
2018-03-31T12:34:38.978+0100,-0.009092555,51.49141582,7.47
2018-03-31T12:34:40.025+0100,-0.00908653,51.49141588,7.11
2018-03-31T12:34:41.028+0100,-0.009086865,51.49142182,6.9
2018-03-31T12:34:42.007+0100,-0.009081932,51.49142181,6.9
2018-03-31T12:34:43.000+0100,-0.009088096,51.49142009,7.16
2018-03-31T12:34:43.993+0100,-0.009090215,51.49141441,7.58
2018-03-31T12:34:45.055+0100,-0.009090165,51.4914109,7.95
2018-03-31T12:34:46.023+0100,-0.009101851,51.49141522,8.01
2018-03-31T12:34:47.052+0100,-0.009110337,51.49141979,7.74
2018-03-31T12:34:48.019+0100,-0.009113999,51.49142525,7.26
2018-03-31T12:34:49.061+0100,-0.009117573,51.49142223,7.31
2018-03-31T12:34:50.011+0100,-0.009108411,51.4914271,7.42
2018-03-31T12:34:51.044+0100,-0.009112446,51.49143019,7.16
2018-03-31T12:34:51.998+0100,-0.009114571,51.49143249,6.95
2018-03-31T12:34:53.085+0100,-0.009112003,51.49143588,6.69
2018-03-31T12:34:54.040+0100,-0.009111242,51.49143944,6.74
2018-03-31T12:34:55.043+0100,-0.009114879,51.49144091,7.47
2018-03-31T12:34:56.083+0100,-0.00912815,51.49144398,7.31
2018-03-31T12:34:57.054+0100,-0.009123142,51.49145138,7
2018-03-31T12:34:58.099+0100,-0.009111127,51.49145353,6.79
2018-03-31T12:34:59.063+0100,-0.00909469,51.49144981,6.59
2018-03-31T12:35:00.032+0100,-0.00908737,51.49144903,6.59
2018-03-31T12:35:01.075+0100,-0.009083604,51.49145325,6.9
2018-03-31T12:35:02.050+0100,-0.009082556,51.49145996,6.69
2018-03-31T12:35:03.122+0100,-0.009078474,51.49145832,7.11
2018-03-31T12:35:04.065+0100,-0.009075748,51.49145729,7.68
2018-03-31T12:35:05.096+0100,-0.009074706,51.49145863,7.31
2018-03-31T12:35:06.059+0100,-0.00907702,51.49146023,7
2018-03-31T12:35:07.122+0100,-0.009083427,51.49145771,6.85
2018-03-31T12:35:08.054+0100,-0.009090777,51.49145293,6.9
