sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-PM10,AirBeam2:001896107096,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2018-03-31T12:33:37.000+0100,-0.0093627,51.4914616,7
2018-03-31T12:33:38.000+0100,-0.0093627,51.4914616,7
2018-03-31T12:33:39.000+0100,-0.0093627,51.4914616,7
2018-03-31T12:33:40.000+0100,-0.0093627,51.4914616,6
2018-03-31T12:33:41.000+0100,-0.0093627,51.4914616,6
2018-03-31T12:33:42.000+0100,-0.0093627,51.4914616,7
2018-03-31T12:33:43.000+0100,-0.0093627,51.4914616,7
2018-03-31T12:33:44.000+0100,-0.0093627,51.4914616,7
2018-03-31T12:33:45.000+0100,-0.0093627,51.4914616,7
2018-03-31T12:33:46.000+0100,-0.0093627,51.4914616,7
2018-03-31T12:33:47.000+0100,-0.0093627,51.4914616,8
2018-03-31T12:33:48.000+0100,-0.0093627,51.4914616,8
2018-03-31T12:33:49.000+0100,-0.0093627,51.4914616,8
2018-03-31T12:33:50.000+0100,-0.0080753,51.4914458,8
2018-03-31T12:33:51.000+0100,-0.0080753,51.4914458,8
2018-03-31T12:33:52.000+0100,-0.0080753,51.4914458,8
2018-03-31T12:33:54.000+0100,-0.0080753,51.4914458,8
2018-03-31T12:33:55.000+0100,-0.0080753,51.4914458,8
2018-03-31T12:33:56.000+0100,-0.0080753,51.4914458,7
2018-03-31T12:33:57.000+0100,-0.0080753,51.4914458,7
2018-03-31T12:33:58.000+0100,-0.0080753,51.4914458,7
2018-03-31T12:33:59.000+0100,-0.0080753,51.4914458,8
2018-03-31T12:34:00.000+0100,-0.0080753,51.4914458,8
2018-03-31T12:34:01.000+0100,-0.0080753,51.4914458,8
2018-03-31T12:34:02.000+0100,-0.0080753,51.4914458,8
2018-03-31T12:34:03.000+0100,-0.0080753,51.4914458,8
2018-03-31T12:34:04.000+0100,-0.0080753,51.4914458,11
2018-03-31T12:34:05.000+0100,-0.0080753,51.4914458,11
2018-03-31T12:34:06.000+0100,-0.0080753,51.4914458,11
2018-03-31T12:34:07.000+0100,-0.0080753,51.4914458,10
2018-03-31T12:34:08.000+0100,-0.0080753,51.4914458,10
2018-03-31T12:34:09.000+0100,-0.0080753,51.4914458,12
2018-03-31T12:34:10.000+0100,-0.0080753,51.4914458,12
2018-03-31T12:34:11.000+0100,-0.0080753,51.4914458,12
2018-03-31T12:34:12.000+0100,-0.0080753,51.4914458,10
2018-03-31T12:34:13.000+0100,-0.0080753,51.4914458,10
2018-03-31T12:34:14.000+0100,-0.0080753,51.4914458,10
2018-03-31T12:34:15.000+0100,-0.0080753,51.4914458,10
2018-03-31T12:34:16.000+0100,-0.0080753,51.4914458,10
2018-03-31T12:34:17.000+0100,-0.0080753,51.4914458,12
2018-03-31T12:34:18.000+0100,-0.0080753,51.4914458,12
2018-03-31T12:34:19.000+0100,-0.0080753,51.4914458,12
2018-03-31T12:34:20.000+0100,-0.0080753,51.4914458,12
2018-03-31T12:34:21.000+0100,-0.0080753,51.4914458,12
2018-03-31T12:34:22.000+0100,-0.0080753,51.4914458,12
2018-03-31T12:34:23.000+0100,-0.0080753,51.4914458,12
2018-03-31T12:34:24.000+0100,-0.0080753,51.4914458,12
2018-03-31T12:34:25.000+0100,-0.0080753,51.4914458,13
2018-03-31T12:34:26.000+0100,-0.0080753,51.4914458,13
2018-03-31T12:34:27.000+0100,-0.0080753,51.4914458,13
2018-03-31T12:34:28.000+0100,-0.0080753,51.4914458,13
2018-03-31T12:34:29.000+0100,-0.0080753,51.4914458,13
2018-03-31T12:34:30.000+0100,-0.0080753,51.4914458,12
2018-03-31T12:34:31.000+0100,-0.0094627,51.4915284,11
2018-03-31T12:34:32.000+0100,-0.0094627,51.4915284,11
2018-03-31T12:34:33.000+0100,-0.0094627,51.4915284,10
2018-03-31T12:34:34.000+0100,-0.0094627,51.4915284,10
2018-03-31T12:34:34.000+0100,-0.0094627,51.4915284,10
2018-03-31T12:34:35.000+0100,-0.0094627,51.4915284,10
2018-03-31T12:36:58.000+0100,-0.0092821,51.4915554,10
2018-03-31T12:36:59.000+0100,-0.0093045,51.4915261,10
2018-03-31T12:37:00.000+0100,-0.0093045,51.4915261,10
2018-03-31T12:37:01.000+0100,-0.0093045,51.4915261,10
2018-03-31T12:37:02.000+0100,-0.0093045,51.4915261,10
2018-03-31T12:37:03.000+0100,-0.0093045,51.4915261,9
2018-03-31T12:37:04.000+0100,-0.0093045,51.4915261,9
2018-03-31T12:37:05.000+0100,-0.0093045,51.4915261,9
2018-03-31T12:37:06.000+0100,-0.0093045,51.4915261,8
2018-03-31T12:37:07.000+0100,-0.0093045,51.4915261,8
2018-03-31T12:37:08.000+0100,-0.0093045,51.4915261,8
2018-03-31T12:37:09.000+0100,-0.0093045,51.4915261,8
2018-03-31T12:37:10.000+0100,-0.0093045,51.4915261,8
2018-03-31T12:37:11.000+0100,-0.0093045,51.4915261,9
2018-03-31T12:37:12.000+0100,-0.0093045,51.4915261,9
2018-03-31T12:37:13.000+0100,-0.0093045,51.4915261,9
2018-03-31T12:37:14.000+0100,-0.0093045,51.4915261,9
2018-03-31T12:37:15.000+0100,-0.0093045,51.4915261,9
2018-03-31T12:37:16.000+0100,-0.0093045,51.4915261,9
2018-03-31T12:37:17.000+0100,-0.0093045,51.4915261,9
2018-03-31T12:37:18.000+0100,-0.0093045,51.4915261,9
2018-03-31T12:37:19.000+0100,-0.0093045,51.4915261,10
2018-03-31T12:37:20.000+0100,-0.0092372,51.4915076,10
2018-03-31T12:37:21.000+0100,-0.0092372,51.4915076,9
2018-03-31T12:37:22.000+0100,-0.0092372,51.4915076,9
2018-03-31T12:37:23.000+0100,-0.0092372,51.4915076,9
2018-03-31T12:37:24.000+0100,-0.0092372,51.4915076,9
2018-03-31T12:37:25.000+0100,-0.0092372,51.4915076,9
2018-03-31T12:37:26.000+0100,-0.0092372,51.4915076,9
