sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-RH,AirBeam2:00189610714D,Humidity,percent
Timestamp,geo:lat,geo:long,Value
2018-04-20T11:23:36.000+01:00,51.5239499,-0.0151522,54.0
2018-04-20T11:23:37.000+01:00,51.5239852,-0.0150698,54.0
2018-04-20T11:23:38.000+01:00,51.5239852,-0.0150698,54.0
2018-04-20T11:23:39.000+01:00,51.5239852,-0.0150698,54.0
2018-04-20T11:23:40.000+01:00,51.5239852,-0.0150698,54.0
2018-04-20T11:23:41.000+01:00,51.524185694,-0.014670414,54.0
2018-04-20T11:23:42.000+01:00,51.524197183,-0.014657477,54.0
2018-04-20T11:23:43.000+01:00,51.524210159,-0.01465641,54.0
2018-04-20T11:23:44.000+01:00,51.524227776,-0.014654648,54.0
2018-04-20T11:23:46.000+01:00,51.524236394,-0.014681098,54.0
2018-04-20T11:23:47.000+01:00,51.524242418,-0.014669874,54.0
2018-04-20T11:23:48.000+01:00,51.524246134,-0.014647898,54.0
2018-04-20T11:23:49.000+01:00,51.524254852,-0.014620163,53.0
2018-04-20T11:23:50.000+01:00,51.524273292,-0.014601202,54.0
2018-04-20T11:23:51.000+01:00,51.524293934,-0.014589413,54.0
2018-04-20T11:23:52.000+01:00,51.524293934,-0.014589413,54.0
2018-04-20T11:23:53.000+01:00,51.524293934,-0.014589413,54.0
2018-04-20T11:23:54.000+01:00,51.524293934,-0.014589413,54.0
2018-04-20T11:23:55.000+01:00,51.524293934,-0.014589413,53.0
2018-04-20T11:23:56.000+01:00,51.524293934,-0.014589413,54.0
2018-04-20T11:23:57.000+01:00,51.524293934,-0.014589413,54.0
2018-04-20T11:23:58.000+01:00,51.524292585,-0.014580425,54.0
2018-04-20T11:23:59.000+01:00,51.524288071,-0.01459161,53.0
2018-04-20T11:24:00.000+01:00,51.524305315,-0.014572167,54.0
2018-04-20T11:24:01.000+01:00,51.52437527,-0.014545203,53.0
2018-04-20T11:24:02.000+01:00,51.524389068,-0.014550685,54.0
2018-04-20T11:24:03.000+01:00,51.524389068,-0.014550685,53.0
2018-04-20T11:24:04.000+01:00,51.524396139,-0.014528361,53.0
2018-04-20T11:24:05.000+01:00,51.524393088,-0.014528292,53.0
2018-04-20T11:24:06.000+01:00,51.524438305,-0.014496891,53.0
2018-04-20T11:24:07.000+01:00,51.524432446,-0.014490965,54.0
2018-04-20T11:24:08.000+01:00,51.524443359,-0.014478521,53.0
2018-04-20T11:24:09.000+01:00,51.524458221,-0.014468621,54.0
2018-04-20T11:24:10.000+01:00,51.524483358,-0.014461687,53.0
2018-04-20T11:24:11.000+01:00,51.524503991,-0.014452429,53.0
2018-04-20T11:24:13.000+01:00,51.524494574,-0.014481569,54.0
2018-04-20T11:24:13.000+01:00,51.524494574,-0.014481569,53.0
2018-04-20T11:24:14.000+01:00,51.524494752,-0.014482072,53.0
2018-04-20T11:24:15.000+01:00,51.524493352,-0.014484665,53.0
2018-04-20T11:24:16.000+01:00,51.524490156,-0.014491064,54.0
2018-04-20T11:24:17.000+01:00,51.52447104,-0.014530157,53.0
2018-04-20T11:24:19.000+01:00,51.524468185,-0.014530466,53.0
2018-04-20T11:24:20.000+01:00,51.524460321,-0.014551522,53.0
2018-04-20T11:24:20.000+01:00,51.524459527,-0.014547963,53.0
2018-04-20T11:24:22.000+01:00,51.524457358,-0.014543564,53.0
2018-04-20T11:24:22.000+01:00,51.524457358,-0.014543564,53.0
2018-04-20T11:24:24.000+01:00,51.52440478,-0.014555898,53.0
2018-04-20T11:24:24.000+01:00,51.524406371,-0.014553782,54.0
2018-04-20T11:24:26.000+01:00,51.524373699,-0.01456983,53.0
2018-04-20T11:24:26.000+01:00,51.524325293,-0.014600621,53.0
2018-04-20T11:24:27.000+01:00,51.524322323,-0.014602933,53.0
2018-04-20T11:24:29.000+01:00,51.524319215,-0.014604653,54.0
2018-04-20T11:24:29.000+01:00,51.52431587,-0.014607511,54.0
2018-04-20T11:24:30.000+01:00,51.524323567,-0.014600935,54.0
2018-04-20T11:24:31.000+01:00,51.524339089,-0.014598429,54.0
2018-04-20T11:24:32.000+01:00,51.524343468,-0.014599872,54.0
2018-04-20T11:24:33.000+01:00,51.524341589,-0.014602118,54.0
2018-04-20T11:24:34.000+01:00,51.524356461,-0.014613047,54.0
2018-04-20T11:24:36.000+01:00,51.5243679,-0.014632611,54.0
2018-04-20T11:24:36.000+01:00,51.524376547,-0.014644388,54.0
2018-04-20T11:24:37.000+01:00,51.524375594,-0.014645332,54.0
2018-04-20T11:24:39.000+01:00,51.52437453,-0.014645542,54.0
2018-04-20T11:24:40.000+01:00,51.524392938,-0.014639685,54.0
2018-04-20T11:24:40.000+01:00,51.524389875,-0.014645226,54.0
2018-04-20T11:24:42.000+01:00,51.524403972,-0.014658766,54.0
2018-04-20T11:24:43.000+01:00,51.524402126,-0.014670988,54.0
2018-04-20T11:24:43.000+01:00,51.524388867,-0.014672705,54.0
2018-04-20T11:24:44.000+01:00,51.524401511,-0.014683111,54.0
2018-04-20T11:24:45.000+01:00,51.524401511,-0.014683111,54.0
2018-04-20T11:24:46.000+01:00,51.524391402,-0.014677322,54.0
2018-04-20T11:24:47.000+01:00,51.52435927,-0.014660233,54.0
2018-04-20T11:24:48.000+01:00,51.524368523,-0.014684121,54.0
2018-04-20T11:24:49.000+01:00,51.524376165,-0.014703152,54.0
2018-04-20T11:24:51.000+01:00,51.524360338,-0.014691387,54.0
2018-04-20T11:24:51.000+01:00,51.524362793,-0.014704482,54.0
2018-04-20T11:24:52.000+01:00,51.524364706,-0.014725119,54.0
2018-04-20T11:24:53.000+01:00,51.524362824,-0.014733981,54.0
2018-04-20T11:24:54.000+01:00,51.524361507,-0.014731406,54.0
2018-04-20T11:24:55.000+01:00,51.524361316,-0.014736094,54.0
2018-04-20T11:24:57.000+01:00,51.524363019,-0.01475327,54.0
2018-04-20T11:24:57.000+01:00,51.524359021,-0.014761204,54.0
2018-04-20T11:24:59.000+01:00,51.524361066,-0.0147806,54.0
2018-04-20T11:24:59.000+01:00,51.524357414,-0.014785139,54.0
2018-04-20T11:25:00.000+01:00,51.524359983,-0.014790523,54.0
2018-04-20T11:25:01.000+01:00,51.524368658,-0.014795373,54.0
2018-04-20T11:25:03.000+01:00,51.524377489,-0.014812798,54.0
2018-04-20T11:25:03.000+01:00,51.524382834,-0.014812089,54.0
2018-04-20T11:25:04.000+01:00,51.524393752,-0.014812409,54.0
2018-04-20T11:25:05.000+01:00,51.52440658,-0.01481148,55.0
2018-04-20T11:25:07.000+01:00,51.524419369,-0.014821984,54.0
2018-04-20T11:25:07.000+01:00,51.524429155,-0.01483205,55.0
2018-04-20T11:25:08.000+01:00,51.524437242,-0.014839075,55.0
2018-04-20T11:25:10.000+01:00,51.52445144,-0.01484031,54.0
2018-04-20T11:25:11.000+01:00,51.524455652,-0.014839366,54.0
2018-04-20T11:25:11.000+01:00,51.524453752,-0.014841234,54.0
2018-04-20T11:25:12.000+01:00,51.524459108,-0.014852819,55.0
2018-04-20T11:25:13.000+01:00,51.524456181,-0.014851911,55.0
2018-04-20T11:25:14.000+01:00,51.524456976,-0.014856969,55.0
2018-04-20T11:25:15.000+01:00,51.524445603,-0.014865753,54.0
2018-04-20T11:25:16.000+01:00,51.524452541,-0.014903351,54.0
2018-04-20T11:25:17.000+01:00,51.524446997,-0.014910489,55.0
2018-04-20T11:25:19.000+01:00,51.524451753,-0.014947727,54.0
2018-04-20T11:25:20.000+01:00,51.524453317,-0.014967983,55.0
2018-04-20T11:25:20.000+01:00,51.524461153,-0.014996326,55.0
2018-04-20T11:25:22.000+01:00,51.524467852,-0.015017964,54.0
2018-04-20T11:25:22.000+01:00,51.524473591,-0.015048686,54.0
2018-04-20T11:25:23.000+01:00,51.524474313,-0.015080875,55.0
2018-04-20T11:25:24.000+01:00,51.524476463,-0.015101197,54.0
2018-04-20T11:25:25.000+01:00,51.524481119,-0.015119241,54.0
2018-04-20T11:25:26.000+01:00,51.524487041,-0.015153341,54.0
2018-04-20T11:25:27.000+01:00,51.524496048,-0.015172017,54.0
2018-04-20T11:25:28.000+01:00,51.524500264,-0.015191667,54.0
2018-04-20T11:25:29.000+01:00,51.524495362,-0.015209754,55.0
2018-04-20T11:25:30.000+01:00,51.524501188,-0.015236238,54.0
2018-04-20T11:25:32.000+01:00,51.524501567,-0.015247255,54.0
2018-04-20T11:25:32.000+01:00,51.524499639,-0.015266028,54.0
2018-04-20T11:25:34.000+01:00,51.524502871,-0.015291547,54.0
2018-04-20T11:25:35.000+01:00,51.524503167,-0.015317463,54.0
2018-04-20T11:25:36.000+01:00,51.524507318,-0.015343104,54.0
2018-04-20T11:25:36.000+01:00,51.52450367,-0.015360626,55.0
2018-04-20T11:25:37.000+01:00,51.524498447,-0.015375933,54.0
2018-04-20T11:25:39.000+01:00,51.524497414,-0.015393196,54.0
2018-04-20T11:25:40.000+01:00,51.52449614,-0.015411065,54.0
2018-04-20T11:25:41.000+01:00,51.524494886,-0.015439329,54.0
2018-04-20T11:25:41.000+01:00,51.524494886,-0.015439329,54.0
2018-04-20T11:25:42.000+01:00,51.524501145,-0.015470965,54.0
2018-04-20T11:25:43.000+01:00,51.524504103,-0.015482251,55.0
2018-04-20T11:25:44.000+01:00,51.524504103,-0.015482251,54.0
2018-04-20T11:25:45.000+01:00,51.524498834,-0.015481192,54.0
2018-04-20T11:25:47.000+01:00,51.524494466,-0.015506254,55.0
2018-04-20T11:25:48.000+01:00,51.524491873,-0.015531307,54.0
2018-04-20T11:25:48.000+01:00,51.524491157,-0.015545198,54.0
2018-04-20T11:25:50.000+01:00,51.524490107,-0.015572001,55.0
2018-04-20T11:25:50.000+01:00,51.524487802,-0.015585438,55.0
2018-04-20T11:25:52.000+01:00,51.524485419,-0.015599982,55.0
2018-04-20T11:25:53.000+01:00,51.52447736,-0.015597779,55.0
